LocId,Latitude,Longitude,Category
L1,4.5692,2.747,P
L2,2.2551,16.7944,H
L3,15.761,15.1464,R
L4,15.6516,5.1249,C
L5,6.0939,9.8601,S
L6,0.8933,8.955,P
L7,12.4328,12.9364,H
L8,0.6958,15.6379,R
L9,8.7215,1.949,C
L10,7.5912,0.6584,S
L11,3.9014,16.5646,P
L12,0.0223,8.6255,H
L13,20.5414,15.1169,R
L14,12.6865,0.1415,C
L15,13.7259,8.8741,S
L16,16.2217,14.3143,P
L17,14.9392,4.6066,H
L18,17.2331,18.7218,R
L19,7.6768,17.8581,C
L20,14.9522,0.7026,S
L21,0.4162,0.6013,P
L22,17.9222,10.7658,H
L23,3.1859,18.6012,R
L24,9.1209,7.6097,C
L25,10.8956,4.367,S
L26,16.9364,8.4157,P
L27,13.5077,0.6721,H
L28,6.3034,4.4673,R
L29,18.9735,8.7264,C
L30,15.8462,9.8675,S
L31,16.3934,4.6918,P
L32,1.4802,4.6481,H
L33,12.4143,4.41,R
L34,5.3671,9.1542,C
L35,11.0865,5.8087,S
L36,16.1079,0.5233,P
L37,5.5209,16.6003,H
L38,12.3705,11.0622,R
L39,0.4693,12.7532,C
L40,9.7034,3.7624,S
L41,19.5932,19.6531,P
L42,12.6472,17.0409,H
L43,5.5022,2.4815,R
L44,0.7705,6.6541,C
L45,17.9201,14.3132,S
L46,17.2322,14.1105,P
L47,16.3438,18.5479,H
L48,18.3533,8.4155,R
L49,8.6592,16.4517,C
L50,19.9571,13.305,S
L51,0.3837,6.0764,P
L52,16.8091,11.6753,H
L53,16.7774,17.4848,R
L54,6.4261,16.7701,C
L55,1.4811,10.0541,S
L56,11.57,11.7033,P
L57,6.941,0.7802,H
L58,13.4849,4.882,R
L59,11.4144,15.8089,C
L60,0.5385,8.262,S
L61,19.7864,3.5082,P
L62,10.4581,10.9113,H
L63,0.8046,13.9499,R
L64,20.1772,13.3874,C
L65,18.1808,7.4816,S
L66,2.7984,8.7475,P
L67,8.0325,10.116,H
L68,2.0832,15.4353,R
L69,0.453,10.3625,C
L70,8.2496,7.8471,S
L71,3.7973,9.747,P
L72,5.3444,0.6826,H
L73,2.1675,0.9567,R
L74,8.5274,13.9566,C
L75,5.6567,19.4688,S
L76,20.7116,11.7857,P
L77,14.7026,7.8539,H
L78,15.4738,3.4559,R
L79,0.312,9.9941,C
L80,10.4209,19.4469,S
L81,6.2584,15.2793,P
L82,8.8998,10.7305,H
L83,16.9767,17.0477,R
L84,19.4317,4.6739,C
L85,0.2254,10.2213,S
L86,12.1465,18.8636,P
L87,5.4457,11.4826,H
L88,16.6782,9.1449,R
L89,17.8322,5.4048,C
L90,20.7978,10.8955,S
L91,16.4508,18.9552,P
L92,16.6485,0.2125,H
L93,12.6749,15.538,R
L94,10.6598,16.2636,C
L95,13.0588,17.5577,S
L96,9.1257,14.6879,P
L97,6.8755,16.0401,H
L98,9.0707,10.318,R
L99,2.3104,11.1587,C
L100,9.7438,8.494,S
